,commentNum,uid,rankDate,nri,followerNum,name,followerNumInc,type,rankPosition,repostNum,likeNum,opusNum,huoshanFansNum,originalMusicBeUsedNum,toutiaoFansNum,followingNum,originalMusicNum,likeOpusNum,likeNum.1,fansTotal,douyinFansNum,dynamicNum,opusNum.1
0,19066,76725372134,2019-01-13,965.2,18360376,0,44074,Entertainment,1,11741,255057,2,0,0,0,1,0,164,78734351,18823553,18823553,99,99
1,26591,62214994150,2019-01-13,947.1,5160659,1,134545,Entertainment,1,11354,991288,1,5,0,633272,3,0,45,32179824,6088530,5455253,54,23
2,5492,63561392076,2019-01-13,945.5,11226614,2,56822,Entertainment,1,3422,309905,1,152,6350,77416,55,15,64,132762313,11960512,11882944,190,190
3,7622,105927636273,2019-01-13,931.0,1988664,3,268548,Entertainment,1,12811,568271,1,0,0,0,1,0,0,5415106,2599958,2599958,11,11
4,10583,55997704074,2019-01-13,892.7,8271389,4,10844,Entertainment,1,1339,150416,1,0,0,0,23,0,184,29203273,8736092,8736092,48,48
5,4612,96170903569,2019-01-13,885.2,2760352,5,9964,Entertainment,1,15385,190368,2,0,0,82587,7,0,1196,48552029,2976430,2893843,963,902
6,12572,93560057625,2019-01-13,882.5,1151655,6,131293,Entertainment,1,1815,586672,1,0,0,3590,12,0,108,6860448,1670412,1666822,24,24
7,11186,95843866489,2019-01-13,880.6,659726,7,89838,Entertainment,1,14427,466815,2,0,0,2186,139,0,164,9712379,948481,946295,238,236
8,2496,59069879140,2019-01-13,872.3,2327359,8,17324,Entertainment,1,3226,106862,1,0,0,0,2,0,11,5543511,2403989,2403989,43,43
9,4411,60282739125,2019-01-13,870.8,480231,9,87378,Entertainment,1,18154,461342,1,0,0,0,39,0,229,10801788,1647334,1647334,54,45
10,43622,97138551495,2019-01-13,866.5,589326,10,47243,Entertainment,1,11817,793072,2,0,0,11694,0,0,478,3531256,617926,606232,347,343
11,7141,77685110493,2019-01-13,861.2,2003509,11,20451,Entertainment,1,1366,111467,1,307500,4603952,1224588,102,174,594,7503452,3652745,2120657,115,89
12,5979,102933395891,2019-01-13,857.2,913936,12,15780,Entertainment,1,4866,599410,3,0,0,20234,5,0,25,31232336,1249785,1229551,377,338
13,1380,97102766208,2019-01-13,843.2,1246265,13,53577,Entertainment,1,1058,47096,2,0,0,2853,67,0,202,19485693,1634238,1631385,271,259
14,8313,75227980535,2019-01-13,841.7,2196572,14,5080,Entertainment,1,1501,100090,1,0,0,241086,9,0,4,4469950,2588466,2347380,15,15
15,9620,57191952799,2019-01-13,839.8,333783,15,25766,Entertainment,1,16377,194206,1,0,0,0,0,0,15,4439347,459360,459360,38,35
16,1994,76044597652,2019-01-13,835.7,1331147,16,52756,Entertainment,1,388,111662,4,0,0,0,1,0,518,54110674,1865896,1865896,478,476
17,946,93711052684,2019-01-13,832.2,978706,17,19283,Entertainment,1,2400,109597,6,3,0,3410,41,0,42,34179796,1873015,1869602,393,392
18,4919,95347761388,2019-01-13,822.3,223824,18,18157,Entertainment,1,11554,447090,5,0,0,0,15,0,193,24630815,674654,674654,194,187
19,1771,58712884629,2019-01-13,820.9,507719,19,9113,Entertainment,1,11369,53048,1,0,0,0,300,0,4834,2904967,555992,555992,93,92
20,2273,106918149526,2019-01-13,817.8,155112,20,38993,Entertainment,1,10537,134197,6,0,0,0,17,0,666,7526744,426275,426275,220,218
21,545,59091697912,2019-01-13,815.2,1246474,21,36560,Entertainment,1,690,22993,4,0,0,740819,56,0,1084,53508460,2846053,2105234,1558,1508
22,1900,60706206995,2019-01-13,814.0,421136,22,19397,Entertainment,1,2196,91949,1,0,0,3206,39,0,3,6215914,706051,702845,114,114
23,2144,54258640279,2019-01-13,812.0,625149,23,13618,Entertainment,1,1436,62251,1,5,0,15,352,0,125,3130857,675369,675349,67,66
24,206,78642284386,2019-01-13,807.3,1317069,24,10158,Entertainment,1,2837,20232,1,0,0,1139677,776,0,501,3986893,2607735,1468058,830,372
25,1358,65971508132,2019-01-13,799.1,793460,25,8336,Entertainment,0,1205,30265,6,0,0,0,177,0,5744,11322321,935406,935406,2724,2179
26,838,92382292996,2019-01-13,797.8,2065497,26,4362,Entertainment,0,587,30267,1,1,0,23898,0,0,1,6956580,2155184,2131285,93,93
27,1261,4551343909,2019-01-13,794.8,1503861,27,1174,Entertainment,0,1831,72348,7,0,0,430512,53,0,324,50251684,3624913,3194401,326,323
28,180,86314100721,2019-01-13,794.5,17780048,28,23284,Entertainment,0,11,6164,1,0,0,119787,7,0,0,62229704,18192652,18072865,208,207
29,8158,61309881959,2019-01-13,792.8,1301669,29,194,Entertainment,0,7270,50990,1,0,0,0,25,0,206,11568949,1455080,1455080,139,139
